National Center for Education Statistics,,,,,,,,,
,,,,,,,,,
2022 NAEP Long-Term Trend Age 09 Reading Assessment: COVID Related Survey Questionnaire Results,,,,,,,,,
,,,,,,,,,
NAEPID,AccNum,Category,Category Label,Percent,PCT SE ,Average score,Score SE,Survey Question Description,Flag
 CVS1906 ,VR374148,5,Notoffer,3,1.23,222,5.03,Last year prep for distance: Addl support for SD  ,!
 CVS1906 ,VR374148,6, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1907 ,VR374149,1,Before  ,25,2.79,216,2.22,Last year prep for distance: Addl support for EL  ,!
 CVS1907 ,VR374149,2,During  ,22,2.47,215,2.69,Last year prep for distance: Addl support for EL  ,!
 CVS1907 ,VR374149,3,Both    ,38,3.28,216,2.23,Last year prep for distance: Addl support for EL  ,!
 CVS1907 ,VR374149,4,No      ,13,2.49,215,3.48,Last year prep for distance: Addl support for EL  ,!
 CVS1907 ,VR374149,5,Notoffer,3,1.19,216,5.72,Last year prep for distance: Addl support for EL  ,!
 CVS1907 ,VR374149,6, MISSING,26,2.41,212,1.73,                                           MISSING,!
 CVS1401 ,VR374851,1,DstAll  ,57,3.34,211,1.76,Last year distribute laptops/tablets to students  ,!
 CVS1401 ,VR374851,2,AlDstLrn,12,1.91,218,3.65,Last year distribute laptops/tablets to students  ,!
 CVS1401 ,VR374851,3,NoAccess,25,3.51,223,2.36,Last year distribute laptops/tablets to students  ,!
 CVS1401 ,VR374851,4,None    ,3,1.14,228,5.89,Last year distribute laptops/tablets to students  ,!
 CVS1401 ,VR374851,5,Other   ,3,0.91,216,12.21,Last year distribute laptops/tablets to students  ,!
 CVS1401 ,VR374851,6, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1501 ,VR375457,1,Yes     ,7,1.66,229,5.13,Last year internet access: All student already had,!
 CVS1501 ,VR375457,2,NO RESP ,93,1.66,214,1.27,Last year internet access: All student already had,!
 CVS1501 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1502 ,VR375457,1,Yes     ,41,3.08,214,2.15,Last year internet access: Schl assist stud to get,!
 CVS1502 ,VR375457,2,NO RESP ,59,3.08,217,1.66,Last year internet access: Schl assist stud to get,!
 CVS1502 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1503 ,VR375457,1,Yes     ,71,2.95,214,1.42,Last year internet access: Schl provided hotspots ,!
 CVS1503 ,VR375457,2,NO RESP ,29,2.95,220,2.43,Last year internet access: Schl provided hotspots ,!
 CVS1503 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1504 ,VR375457,1,Yes     ,25,2.82,209,2.31,Last year internet access: Schl provided Wi-Fi    ,!
 CVS1504 ,VR375457,2,NO RESP ,75,2.82,217,1.32,Last year internet access: Schl provided Wi-Fi    ,!
 CVS1504 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1505 ,VR375457,1,Yes     ,10,1.86,221,4.84,Last year internet access: Schl did not assist    ,!
 CVS1505 ,VR375457,2,NO RESP ,90,1.86,215,1.30,Last year internet access: Schl did not assist    ,!
 CVS1505 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1506 ,VR375457,1,Yes     ,2,1.06,224,8.10,Last year internet access: Other                  ,!
 CVS1506 ,VR375457,2,NO RESP ,98,1.06,215,1.25,Last year internet access: Other                  ,!
 CVS1506 ,VR375457,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1601 ,VR375478,1,NA      ,38,2.96,218,1.93,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,2,None    ,47,3.09,215,1.91,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,3,Some    ,8,1.97,217,4.46,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,4,Half    ,1,0.61,196,11.18,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,5,>Half   ,0,---,---,---,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,6,All/most,6,1.49,208,6.07,"Last year in-person classes canceled, not replaced",!
 CVS1601 ,VR375478,7, MISSING,27,2.38,212,1.73,                                           MISSING,!
 CVS1602 ,VR375477,1,NA      ,10,1.97,223,3.07,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,2,None    ,8,1.79,217,4.76,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,3,Some    ,26,3.08,215,2.74,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,4,Half    ,5,1.40,217,6.17,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,5,>Half   ,5,1.59,226,5.12,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,6,All/most,46,3.02,213,1.96,Last year in-person classes moved to distnce learn,!
 CVS1602 ,VR375477,7, MISSING,26,2.41,212,1.68,                                           MISSING,!
 CVS1603 ,VR375479,1,NA      ,17,2.68,222,3.35,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,2,None    ,22,2.60,215,2.77,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,3,Some    ,37,3.47,216,2.20,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,4,Half    ,5,1.35,217,4.92,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,5,>Half   ,4,1.05,211,5.74,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,6,All/most,15,2.21,211,3.61,Last year students completed lessons on their own ,!
 CVS1603 ,VR375479,7, MISSING,26,2.40,212,1.71,                                           MISSING,!
 CVS1604 ,VR375476,1,NA      ,8,1.79,224,4.32,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,2,None    ,5,1.39,213,6.45,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,3,Some    ,27,2.85,215,2.71,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,4,Half    ,6,1.54,220,3.63,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,5,>Half   ,7,1.53,215,3.79,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,6,All/most,47,2.97,214,1.81,Last year lessons conducted in real-time          ,!
 CVS1604 ,VR375476,7, MISSING,26,2.41,212,1.69,                                           MISSING,!
 CVS1701 ,VR375487,1,NA      ,6,1.56,217,5.80,"Last year distnce learn, tchr commun w/stud online",!
 CVS1701 ,VR375487,2,Never   ,0,---,---,---,"Last year distnce learn, tchr commun w/stud online",!
 CVS1701 ,VR375487,3,1-2/mnth,1,0.54,---,---,"Last year distnce learn, tchr commun w/stud online",!
 CVS1701 ,VR375487,4,1-2/week,9,1.74,214,3.42,"Last year distnce learn, tchr commun w/stud online",!
 CVS1701 ,VR375487,5,EveryDay,84,2.49,215,1.35,"Last year distnce learn, tchr commun w/stud online",!
 CVS1701 ,VR375487,6, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1702 ,VR375490,1,NA      ,9,1.92,222,4.57,"Last year distnce learn, tchr virtual office hours",!
 CVS1702 ,VR375490,2,Never   ,1,0.50,---,---,"Last year distnce learn, tchr virtual office hours",!
 CVS1702 ,VR375490,3,1-2/mnth,2,0.74,217,16.09,"Last year distnce learn, tchr virtual office hours",!
 CVS1702 ,VR375490,4,1-2/week,20,2.45,220,2.78,"Last year distnce learn, tchr virtual office hours",!
 CVS1702 ,VR375490,5,EveryDay,69,2.87,214,1.38,"Last year distnce learn, tchr virtual office hours",!
 CVS1702 ,VR375490,6, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1703 ,VR375488,1,NA      ,20,2.55,223,2.94,"Last year distnce learn, tchr call students       ",!
 CVS1703 ,VR375488,2,Never   ,15,2.33,218,4.06,"Last year distnce learn, tchr call students       ",!
 CVS1703 ,VR375488,3,1-2/mnth,9,2.08,215,4.44,"Last year distnce learn, tchr call students       ",!
 CVS1703 ,VR375488,4,1-2/week,27,2.73,217,1.96,"Last year distnce learn, tchr call students       ",!
 CVS1703 ,VR375488,5,EveryDay,29,2.64,208,2.31,"Last year distnce learn, tchr call students       ",!
 CVS1703 ,VR375488,6, MISSING,26,2.38,212,1.76,                                           MISSING,!
 CVS1704 ,VR375489,1,NA      ,4,1.23,211,7.20,"Last year distnce learn, tchr communicate w/parent",!
 CVS1704 ,VR375489,2,Never   ,2,0.70,221,7.77,"Last year distnce learn, tchr communicate w/parent",!
 CVS1704 ,VR375489,3,1-2/mnth,29,3.22,219,2.63,"Last year distnce learn, tchr communicate w/parent",!
 CVS1704 ,VR375489,4,1-2/week,37,3.56,215,2.17,"Last year distnce learn, tchr communicate w/parent",!
 CVS1704 ,VR375489,5,EveryDay,28,2.92,213,2.16,"Last year distnce learn, tchr communicate w/parent",!
 CVS1704 ,VR375489,6, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1801 ,VR375516,1,Yes     ,6,1.68,212,4.53,Last schl year modified: Schl year started earlier,!
 CVS1801 ,VR375516,2,No      ,94,1.68,216,1.27,Last schl year modified: Schl year started earlier,!
 CVS1801 ,VR375516,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1802 ,VR375517,1,Yes     ,14,1.96,216,3.45,Last schl year modified: Schl year ended later    ,!
 CVS1802 ,VR375517,2,No      ,86,1.96,215,1.29,Last schl year modified: Schl year ended later    ,!
 CVS1802 ,VR375517,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1803 ,VR375518,1,Yes     ,3,0.97,216,7.81,Last schl year modified: Length of schl day extend,!
 CVS1803 ,VR375518,2,No      ,97,0.97,215,1.24,Last schl year modified: Length of schl day extend,!
 CVS1803 ,VR375518,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1804 ,VR375519,1,Yes     ,28,3.50,213,2.93,Last schl year modified: Attendnce sched in shifts,!
 CVS1804 ,VR375519,2,No      ,72,3.50,217,1.31,Last schl year modified: Attendnce sched in shifts,!
 CVS1804 ,VR375519,3, MISSING,26,2.41,212,1.69,                                           MISSING,!
 CVS1805 ,VR375520,1,Yes     ,45,3.45,212,2.09,Last schl year modified: Addl prgrms/class offered,!
 CVS1805 ,VR375520,2,No      ,55,3.45,218,1.72,Last schl year modified: Addl prgrms/class offered,!
 CVS1805 ,VR375520,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
 CVS1806 ,VR375521,1,Yes     ,21,2.46,212,2.37,Last schl year modified: Option to repeat prev grd,!
 CVS1806 ,VR375521,2,No      ,79,2.46,216,1.42,Last schl year modified: Option to repeat prev grd,!
 CVS1806 ,VR375521,3, MISSING,25,2.40,212,1.71,                                           MISSING,!
